date,travel
7/25/2020,"649,027"
7/24/2020,"724,770"
7/23/2020,"704,815"
7/22/2020,"570,951"
7/21/2020,"530,421"
7/20/2020,"695,330"
7/19/2020,"747,422"
7/18/2020,"646,654"
7/17/2020,"720,378"
7/16/2020,"706,164"
7/15/2020,"589,285"
7/14/2020,"540,268"
7/13/2020,"697,985"
7/12/2020,"754,545"
7/11/2020,"656,284"
7/10/2020,"711,124"
7/9/2020,"709,653"
7/8/2020,"632,498"
7/7/2020,"641,761"
7/6/2020,"755,555"
7/5/2020,"732,123"
7/4/2020,"466,669"
7/3/2020,"718,988"
7/2/2020,"764,761"
7/1/2020,"626,516"
6/30/2020,"500,054"
6/29/2020,"625,235"
6/28/2020,"633,810"
6/27/2020,"546,310"
6/26/2020,"632,984"
6/25/2020,"623,624"
6/24/2020,"494,826"
6/23/2020,"471,421"
6/22/2020,"607,540"
6/21/2020,"590,456"
6/20/2020,"507,129"
6/19/2020,"587,908"
6/18/2020,"576,514"
6/17/2020,"441,829"
6/16/2020,"417,924"
6/15/2020,"534,528"
6/14/2020,"544,046"
6/13/2020,"437,119"
6/12/2020,"519,304"
6/11/2020,"502,209"
6/10/2020,"386,969"
6/9/2020,"338,382"
6/8/2020,"430,414"
6/7/2020,"441,255"
6/6/2020,"353,016"
6/5/2020,"419,675"
6/4/2020,"391,882"
6/3/2020,"304,436"
6/2/2020,"267,742"
6/1/2020,"353,261"
5/31/2020,"352,947"
5/30/2020,"268,867"
5/29/2020,"327,133"
5/28/2020,"321,776"
5/27/2020,"261,170"
5/26/2020,"264,843"
5/25/2020,"340,769"
5/24/2020,"267,451"
5/23/2020,"253,190"
5/22/2020,"348,673"
5/21/2020,"318,449"
5/20/2020,"230,367"
5/19/2020,"190,477"
5/18/2020,"244,176"
5/17/2020,"253,807"
5/16/2020,"193,340"
5/15/2020,"250,467"
5/14/2020,"234,928"
5/13/2020,"176,667"
5/12/2020,"163,205"
5/11/2020,"215,645"
5/10/2020,"200,815"
5/9/2020,"169,580"
5/8/2020,"215,444"
5/7/2020,"190,863"
5/6/2020,"140,409"
5/5/2020,"130,601"
5/4/2020,"163,692"
5/3/2020,"170,254"
5/2/2020,"134,261"
5/1/2020,"171,563"
4/30/2020,"154,695"
4/29/2020,"119,629"
4/28/2020,"110,913"
4/27/2020,"119,854"
4/26/2020,"128,875"
4/25/2020,"114,459"
4/24/2020,"123,464"
4/23/2020,"111,627"
4/22/2020,"98,968"
4/21/2020,"92,859"
4/20/2020,"99,344"
4/19/2020,"105,382"
4/18/2020,"97,236"
4/17/2020,"106,385"
4/16/2020,"95,085"
4/15/2020,"90,784"
4/14/2020,"87,534"
4/13/2020,"102,184"
4/12/2020,"90,510"
4/11/2020,"93,645"
4/10/2020,"108,977"
4/9/2020,"104,090"
4/8/2020,"94,931"
4/7/2020,"97,130"
4/6/2020,"108,310"
4/5/2020,"122,029"
4/4/2020,"118,302"
4/3/2020,"129,763"
4/2/2020,"124,021"
4/1/2020,"136,023"
3/31/2020,"146,348"
3/30/2020,"154,080"
3/29/2020,"180,002"
3/28/2020,"184,027"
3/27/2020,"199,644"
3/26/2020,"203,858"
3/25/2020,"239,234"
3/24/2020,"279,018"
3/23/2020,"331,431"
3/22/2020,"454,516"
3/21/2020,"548,132"
3/20/2020,"593,167"
3/19/2020,"620,883"
3/18/2020,"779,631"
3/17/2020,"953,699"
3/16/2020,"1,257,823"
3/15/2020,"1,519,192"
3/14/2020,"1,485,553"
3/13/2020,"1,714,372"
3/12/2020,"1,788,456"
3/11/2020,"1,702,686"
3/10/2020,"1,617,220"
3/9/2020,"1,909,363"
3/8/2020,"2,119,867"
3/7/2020,"1,844,811"
3/6/2020,"2,198,517"
3/5/2020,"2,130,015"
3/4/2020,"1,877,401"
3/3/2020,"1,736,393"
3/2/2020,"2,089,641"
3/1/2020,"2,280,522"
3/21/2020,"548,132"
3/20/2020,"593,167"
3/19/2020,"620,883"
3/18/2020,"779,631"
3/17/2020,"953,699"
3/16/2020,"1,257,823"
3/15/2020,"1,519,192"
3/14/2020,"1,485,553"
3/13/2020,"1,714,372"
3/12/2020,"1,788,456"
3/11/2020,"1,702,686"
3/10/2020,"1,617,220"
3/9/2020,"1,909,363"
3/8/2020,"2,119,867"
3/7/2020,"1,844,811"
3/6/2020,"2,198,517"
3/5/2020,"2,130,015"
3/4/2020,"1,877,401"
3/3/2020,"1,736,393"
3/2/2020,"2,089,641"
3/1/2020,"2,280,522"
2/28/2020,"2,353,150"
2/27/2020,"1,949,696"
2/26/2020,"2,441,643"
2/25/2020,"2,364,727"
2/24/2020,"2,075,554"
2/23/2020,"1,919,803"
2/22/2020,"2,267,382"
2/21/2020,"2,380,359"
2/20/2020,"1,951,535"
2/19/2020,"2,429,489"
2/18/2020,"2,358,511"
2/17/2020,"2,129,862"
2/16/2020,"2,190,300"
2/15/2020,"2,494,922"
2/14/2020,"2,198,657"
2/13/2020,"1,972,248"
2/12/2020,"2,507,588"
2/11/2020,"2,415,185"
2/10/2020,"2,038,375"
2/9/2020,"1,814,047"
2/8/2020,"2,164,951"
2/7/2020,"2,224,826"
2/6/2020,"1,770,241"
2/5/2020,"2,271,551"
2/4/2020,"2,167,857"
2/3/2020,"1,843,877"
2/2/2020,"1,677,798"
2/1/2020,"2,054,725"
1/31/2020,"1,948,138"
1/30/2020,"1,658,886"
